=== /Users/shashanksaxena/Downloads/Lucernex_to_PostgreSQL_Inventory_jcrew.xlsx ===
Sheets: ['Field Inventory']


##### SHEET: Field Inventory #####
Lucernex Object	Lucernex Field Name	UI Label	Lucernex Data Type	Required	Max Size	Functional Field	Definition	Extracted to PostgreSQL	PG Database	PG Table	PG Table Status	PG Column	PG Data Type	Key Role	Notes
AccrualTransaction	TaxAmount4	Tax Amount #4	Currency		999999999999999	Yes	Enter the fourth tax amount in currency in this field.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxAmount4	TEXT		
AccrualTransaction	TaxesIncludedFlag	Taxes Included In Amount?	Boolean		-	Yes	Select this check box if taxes are included in the value you entered in the Period Amount field. The system will then subtract the tax amounts from the period amount, and the Total Amount field becomes editable. If you need to make changes to the value in the Total Amount field, you may now do so.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TaxesIncludedFlag	TEXT		
AccrualTransaction	TotalAmount	Total Amount	Currency		999999999999999	Yes	This field will only be editable if the Taxes Included in Amount? flag is selected. The total amount is the period amount plus any taxes.	Yes	lxr_drp_jcrew	accrual_transaction	Created — holds data	TotalAmount	TEXT		
AcctingAssumptionAdjust	AcctingAssumptionAdjustID	Accting Assumption Adjust RecID	Number		2147483647	Yes	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AcctingAssumptionAdjustID	VARCHAR(64) NOT NULL	Primary key	
AcctingAssumptionAdjust	AdjustmentPercent	Adjustment Percent	Percentage		999999	No	This field is a placeholder in preparation for an upcoming enhancement.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AdjustmentPercent	TEXT		
AcctingAssumptionAdjust	AnnualAmount	Annual Amount	Currency	Required	999999999999999	Yes	The Annual Amount field is where the system will store the annual amount of the accounting assumption adjustment. The First Payment Amount, Last Payment Amount, and Annual Amount fields will auto-populate depending upon the value you enter in the Payment Amount field and the frequency you select from the Frequency field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	AnnualAmount	TEXT		
AcctingAssumptionAdjust	BOMapClientRecordID	Accting Assumption Adjust ClientID	Text	Required	256	Yes	The ClientID field is a free form text field that can be used when importing data to uniquely look up a record for update. This record identifier can either be system-generated or defined by the user upon the initial import of record data. The ClientID has the database name "BOMapClientRecordID".	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	BOMapClientRecordID	TEXT	Client identifier	
AcctingAssumptionAdjust	BeginDate	Begin Date	Date	Required	01/01/1900 - 01/01/3000	Yes	The Begin Date field allows you to select a begin date for the record.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	BeginDate	TEXT		
AcctingAssumptionAdjust	CodeASC842ScheduleID	ASC 842 Schedule	Dropdown (ASC 842 Schedule Type)		-	Yes	The ASC 842 Schedule field is where you select the ASC 842 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeASC842ScheduleID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	CodeFrequencyID	Frequency	Dropdown (Frequency Code)		-	Yes	Select the frequency of your payment from this field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeFrequencyID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	CodeIFRS16ScheduleID	IFRS 16 Schedule	Dropdown (IFRS 16 Schedule Type)		-	Yes	The IFRS 16 Schedule field is where you select the IFRS 16 schedule you want to associate with a record. This field is functional, and changing its value on the Accounting Assumptions page, the Covenants page, or the Recurring Expenses page will set the Recalc? flag to YES.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeIFRS16ScheduleID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	CodeProrationMethodID	Proration Method	Dropdown (Proration Method Code)		-	Yes	Select a proration method from this field. The proration method you choose tells the system how much a day is worth, when your cost period does not encompass the entirety of the period.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	CodeProrationMethodID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	ContractID	ContractID	Contract ID		-	Yes	The Contract ID is a unique identifier that belongs to a contract. The Contract ID of a contract can only be changed from the Contract > Details > Summary page.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	ContractID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	EndDate	End Date	Date	Required	01/01/1900 - 01/01/3000	Yes	The End Date field allows you to select an end date for the record.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	EndDate	TEXT		
AcctingAssumptionAdjust	ExpenseSetupID	Expense Setup	Expense Setup ID		-	Yes	The ExpenseSetupID field is used to associate an accounting assumption adjustment with an expense setup record.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	ExpenseSetupID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	FirstPaymentAmount	First Payment Amount	Currency		999999999999999	Yes	The First Payment Amount field is where the system will store the first payment amount. The First Payment Amount, Last Payment Amount, and Annual Amount fields will auto-populate depending upon the value you enter in the Payment Amount field and the frequency you select from the Frequency field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	FirstPaymentAmount	TEXT		
AcctingAssumptionAdjust	LastPaymentAmount	Last Payment Amount	Currency		999999999999999	Yes	The Last Payment Amount field is where the system will store the last payment amount. The First Payment Amount, Last Payment Amount, and Annual Amount fields will auto-populate depending upon the value you enter in the Payment Amount field and the frequency you select from the Frequency field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	LastPaymentAmount	TEXT		
AcctingAssumptionAdjust	Notes	Notes	Text		No Limit	No	Add any notes about the record.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	Notes	TEXT		
AcctingAssumptionAdjust	PaymentAmount	Payment Amount	Currency	Required	999999999999999	Yes	Enter your payment amount for the accounting assumption adjustment in this field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	PaymentAmount	TEXT		
AcctingAssumptionAdjust	PaymentRate	Payment Rate	Currency		999999999999999	Yes	Enter the payment rate in this field. The payment rate is a currency value: for example, $1.00 per square foot.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	PaymentRate	TEXT		
AcctingAssumptionAdjust	ProjectEntityID	ProjectEntityID	Entity ID		-			Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	ProjectEntityID	TEXT	Foreign key (ID reference)	
AcctingAssumptionAdjust	SecondaryRentSchedAllocPercent	Accounting Assumption Adjustment Secondary Rent Schedule Allocation Percent	Percentage		999999	Yes	If the expense setup has a secondary schedule allocation percentage, enter the allocation in this field.	Yes	lxr_drp_jcrew	accting_assumption_adjust	Created — holds data	SecondaryRentSchedAllocPercent	TEXT		
Allowance	AllowanceID	Allowance RecID	Number		2147483647	Yes	This field contains a Base Entity System Identifier for your record. It is assigned automatically by the system, and is not editable.	Yes	lxr_drp_jcrew	allowance	Created — holds data	AllowanceID	VARCHAR(64) NOT NULL	Primary key	
Allowance	AmendmentID	Amendment	Contract Amendment ID		-	No	Select the amendment that the record is associated with from this field.	Yes	lxr_drp_jcrew	allowance	Created — holds data	AmendmentID	TEXT	Foreign key (ID reference)	
